bin,count,count_error,probability,probability_error,relative_error,mean,mean_error,variance
0,12375,111.24297730643494,0.18121247620442232,0.0016289790204486007,0.008989331499509893,1.4452482061795284,0.007193730067669621,1.0427263588066373
1,25450,159.53056133543816,0.3726753551032362,0.002336074993929392,0.006268391408072227,1.4452482061795284,0.007193730067669621,1.0427263588066373
2,20365,100.90837428082963,0.29821350124469176,0.001477644959449841,0.004954990143915032,1.4452482061795284,0.007193730067669621,1.0427263588066373
3,8130,52.05766033928148,0.11905110557914775,0.0007623028311507026,0.006403156253294156,1.4452482061795284,0.007193730067669621,1.0427263588066373
4,1740,20.85665361461421,0.02547957241177332,0.00030541299772461866,0.011986582537134603,1.4452482061795284,0.007193730067669621,1.0427263588066373
5,215,6.557438524302,0.0031483379704202665,9.602340788258896e-05,0.030499714066520932,1.4452482061795284,0.007193730067669621,1.0427263588066373
6,14,1.5275252316519468,0.0002050080538878313,2.2368212500394593e-05,0.1091089451179962,1.4452482061795284,0.007193730067669621,1.0427263588066373
7,1,0.3779644730092272,1.4643432420559379e-05,5.534697217882958e-06,0.3779644730092272,1.4452482061795284,0.007193730067669621,1.0427263588066373
8,0,0.0,0.0,0.0,,1.4452482061795284,0.007193730067669621,1.0427263588066373
9,0,0.0,0.0,0.0,,1.4452482061795284,0.007193730067669621,1.0427263588066373
