bin,count,count_error,probability,probability_error,relative_error,mean,mean_error,variance
0,40,6.324555320336759,0.18867924528301888,0.029832808114796033,0.15811388300841897,1.4811320754716981,0.13166001635972627,1.2024741901032399
1,81,9.0,0.38207547169811323,0.04245283018867924,0.1111111111111111,1.4811320754716981,0.13166001635972627,1.2024741901032399
2,49,4.949747468305833,0.23113207547169812,0.023347865416536946,0.10101525445522108,1.4811320754716981,0.13166001635972627,1.2024741901032399
3,34,3.366501646120693,0.16037735849056603,0.015879724745852326,0.09901475429766744,1.4811320754716981,0.13166001635972627,1.2024741901032399
4,7,1.3228756555322954,0.0330188679245283,0.006239979507227808,0.18898223650461363,1.4811320754716981,0.13166001635972627,1.2024741901032399
5,1,0.4472135954999579,0.0047169811320754715,0.0021094980919809337,0.4472135954999579,1.4811320754716981,0.13166001635972627,1.2024741901032399
6,0,0.0,0.0,0.0,,1.4811320754716981,0.13166001635972627,1.2024741901032399
7,0,0.0,0.0,0.0,,1.4811320754716981,0.13166001635972627,1.2024741901032399
8,0,0.0,0.0,0.0,,1.4811320754716981,0.13166001635972627,1.2024741901032399
9,0,0.0,0.0,0.0,,1.4811320754716981,0.13166001635972627,1.2024741901032399
