bin,count,count_error,probability,probability_error,relative_error,mean,mean_error,variance
0,226,15.033296378372908,0.1332547169811321,0.008863971921210441,0.06651901052377393,1.7069575471698113,0.05219623268937443,1.244904422726059
1,548,23.40939982143925,0.3231132075471698,0.013802712158867483,0.04271788288583805,1.7069575471698113,0.05219623268937443,1.244904422726059
2,543,16.47725705328408,0.32016509433962265,0.009715363828587311,0.030344856451720224,1.7069575471698113,0.05219623268937443,1.244904422726059
3,280,9.66091783079296,0.1650943396226415,0.005696295890797736,0.03450327796711771,1.7069575471698113,0.05219623268937443,1.244904422726059
4,76,4.358898943540674,0.04481132075471698,0.002570105509163133,0.05735393346764045,1.7069575471698113,0.05219623268937443,1.244904422726059
5,21,2.04939015319192,0.012382075471698114,0.0012083668356084433,0.09759000729485333,1.7069575471698113,0.05219623268937443,1.244904422726059
6,2,0.5773502691896257,0.0011792452830188679,0.0003404187907957699,0.28867513459481287,1.7069575471698113,0.05219623268937443,1.244904422726059
7,0,0.0,0.0,0.0,,1.7069575471698113,0.05219623268937443,1.244904422726059
8,0,0.0,0.0,0.0,,1.7069575471698113,0.05219623268937443,1.244904422726059
9,0,0.0,0.0,0.0,,1.7069575471698113,0.05219623268937443,1.244904422726059
