bin,count,count_error,probability,probability_error,relative_error,mean,mean_error,variance
0,26,5.0990195135927845,0.05531914893617021,0.010848977688495286,0.19611613513818402,2.3085106382978724,0.12747742399569978,1.5750339520144854
1,97,9.848857801796104,0.20638297872340425,0.020955016599566178,0.1015346165133619,2.3085106382978724,0.12747742399569978,1.5750339520144854
2,162,9.0,0.3446808510638298,0.019148936170212766,0.05555555555555555,2.3085106382978724,0.12747742399569978,1.5750339520144854
3,107,5.972157622389639,0.2276595744680851,0.01270671834550987,0.055814557218594754,2.3085106382978724,0.12747742399569978,1.5750339520144854
4,52,3.605551275463989,0.11063829787234042,0.007671385692476573,0.06933752452815364,2.3085106382978724,0.12747742399569978,1.5750339520144854
5,21,2.04939015319192,0.04468085106382979,0.004360404581259404,0.09759000729485333,2.3085106382978724,0.12747742399569978,1.5750339520144854
6,5,0.9128709291752769,0.010638297872340425,0.001942278572713355,0.18257418583505539,2.3085106382978724,0.12747742399569978,1.5750339520144854
7,0,0.0,0.0,0.0,,2.3085106382978724,0.12747742399569978,1.5750339520144854
8,0,0.0,0.0,0.0,,2.3085106382978724,0.12747742399569978,1.5750339520144854
9,0,0.0,0.0,0.0,,2.3085106382978724,0.12747742399569978,1.5750339520144854
